"1","38235121060-73","Dow Europe GmbH"
"2","72390466359-39","Barclays PLC"
"3","6256831207-27","ENEL SpA"
"4","38429111298-23","European Chemical Employers Group"
"5","85083981189-35","Platform of European Social NGOs"
"6","4172526951-19","European Association of Co-operative Banks"
"7","802087536653-09","Lightyear"
"8","855647016671-07","European Road Transport Research Advisory Council"
"9","0714344663-32","Lufthansa Group"
"10","830882416841-19","International Financial Reporting Standards (IFRS) Foundation"
"11","612289519524-31","Principles for Responsible Investment"
"12","096526947007-11","Supernal, LLC"
"13","41802525291-86","International Road Transport Union Permanent Delegation to the EU"
"14","1078390517-54","Kreab"
"15","286394716669-89","Invesco Management SA"
"16","9505781573-45","Bureau Européen des Unions de Consommateurs"
"17","76441066192-30","KLM Royal Dutch Airlines"
"18","39217046408-27","Union of European Football Associations"
"19","662741612644-67","Stiftung Wissenschaft und Politik"
"20","041415315167-65","Managed Funds Association"
"21","435008814959-36","New Financial LLP"
"22","4271427696-87","Eurelectric aisbl"
"23","83575061669-96","Cosmetics Europe"
"24","529000934166-97","European Organisation for Technical Assessment"
"25","92545571128-74","European Transport Workers' Federation"
"26","6504541970-40","Volkswagen Aktiengesellschaft"
"27","77659588648-75","Hydrogen Europe"
"28","764184537594-67","SAFRAN"
"29","26207914726-42","FuelsEurope"
"30","095079912436-63","FINCANTIERI SpA"
"31","99578067285-35","Eni S.p.A."
"32","826984547100-93","US Council for International Business"
"33","46302264606-44","Schneider Electric"
"34","284336314886-25","Snam S.p.A."
"35","2050009628-31","Comité du commerce des céréales, aliments du bétail, oléagineux, huile d'olive, huiles et graisses et agrofournitures de l'U.E."
"36","91425447458-88","3M"
"37","247520145056-08","Tree Energy Solutions GmbH"
"38","34369111614-57","Société Générale"
"39","424103441763-49","Breakthrough Energy Catalyst Foundation"
"40","898711618618-45","NXP Semiconductors Netherlands B.V."
"41","307603023489-82","The American European Community Association"
"42","3978240953-79","BUSINESSEUROPE"
"43","550494915045-08","London Stock Exchange Group"
"44","66666589895-96","Drugs for Neglected Diseases initiative"
"45","412366615831-33","Cellnex Telecom S.A."
"46","97138128231-58","Academy of European Law"
"47","48544465107-88","Deutsche Post DHL Group"
"48","362131745511-65","Tweeddale Advisors"
"49","359893146983-29","BlueBay Asset Management LLP"
"50","726924727096-27","MBO Raad"
"51","7459401905-60","Intel Corporation"
"52","27762251795-15","Confederazione Generale dell'Industria Italiana"
"53","141041215133-83","Intercontinental Exchange, Inc."
"54","33213703459-54","Insurance Europe"
"55","010822218390-62","The Kraft Heinz Company"
"56","68037017809-51","Edelman Public Relations Worldwide"
"57","44688805318-45","Redeia"
"58","608584041803-93","Coinbase"
"59","73792436593-97","Helmholtz-Gemeinschaft Deutscher Forschungszentren e.V."
"60","570633817416-75","Aldersgate Group"
