iteration,sender,signal
0,,
1,241.0,0.0
2,310.0,0.0
3,105.0,0.0
4,738.0,1.0
5,405.0,0.0
6,490.0,0.0
7,158.0,0.0
8,92.0,0.0
9,68.0,0.0
10,20.0,0.0
11,411.0,0.0
12,562.0,0.0
13,939.0,0.0
14,296.0,0.0
15,819.0,0.0
16,783.0,0.0
17,60.0,0.0
18,227.0,0.0
19,532.0,0.0
20,549.0,0.0
21,368.0,0.0
22,283.0,1.0
23,798.0,0.0
24,176.0,0.0
25,846.0,0.0
26,108.0,0.0
27,268.0,0.0
28,219.0,0.0
29,965.0,0.0
30,949.0,0.0
31,26.0,0.0
32,848.0,0.0
33,656.0,0.0
34,826.0,0.0
35,266.0,0.0
36,819.0,0.0
37,278.0,0.0
38,198.0,0.0
39,168.0,0.0
40,317.0,0.0
41,296.0,0.0
42,642.0,0.0
43,888.0,0.0
44,749.0,0.0
45,983.0,0.0
46,875.0,0.0
47,868.0,0.0
48,901.0,0.0
49,381.0,0.0
50,88.0,0.0
51,865.0,0.0
52,620.0,0.0
53,345.0,0.0
54,687.0,0.0
55,397.0,0.0
56,518.0,0.0
57,254.0,0.0
58,182.0,0.0
59,253.0,0.0
60,484.0,0.0
61,286.0,0.0
62,91.0,0.0
63,967.0,0.0
64,957.0,0.0
65,837.0,0.0
66,886.0,0.0
67,964.0,0.0
68,560.0,0.0
69,860.0,0.0
70,307.0,0.0
71,7.0,0.0
72,930.0,0.0
73,298.0,0.0
74,586.0,0.0
75,721.0,0.0
76,903.0,0.0
77,319.0,0.0
78,868.0,0.0
79,783.0,0.0
80,520.0,0.0
81,199.0,0.0
82,423.0,0.0
83,433.0,0.0
84,613.0,0.0
85,295.0,0.0
86,441.0,0.0
87,462.0,0.0
88,165.0,0.0
89,238.0,0.0
90,312.0,0.0
91,265.0,0.0
92,832.0,0.0
93,816.0,0.0
94,44.0,0.0
95,83.0,0.0
96,47.0,0.0
97,473.0,0.0
98,641.0,0.0
99,287.0,0.0
